Frame 270: red, (686.9655151367188, 230.41343688964844), (786.7902221679688, 315.1610107421875)
Frame 270: red, (456.0343017578125, 248.330322265625), (536.6802368164062, 337.552734375)
Frame 270: red, (707.1533813476562, 226.50933837890625), (787.2905883789062, 305.97381591796875)
Frame 273: blue, (490.1813049316406, 195.82791137695312), (560.6529541015625, 261.9008483886719)
Frame 273: red, (685.9747314453125, 235.0496826171875), (784.4246826171875, 316.7032470703125)
Frame 273: blue, (438.0631103515625, 243.2840576171875), (525.423828125, 337.04473876953125)
Frame 273: red, (256.4856872558594, 623.9498291015625), (379.4609069824219, 720.0)
Frame 273: blue, (752.665771484375, 562.5032958984375), (866.703369140625, 717.836181640625)
Frame 273: blue, (257.014892578125, 626.8959350585938), (376.5714111328125, 720.0)
Frame 273: red, (706.3099975585938, 228.767822265625), (787.1779174804688, 305.6448974609375)
Frame 273: red, (846.9635009765625, 194.80081176757812), (901.1805419921875, 298.4178771972656)
Frame 276: blue, (484.61376953125, 192.73190307617188), (555.5166015625, 258.86395263671875)
Frame 276: red, (680.2386474609375, 236.83807373046875), (779.3138427734375, 317.30181884765625)
Frame 276: blue, (423.6605224609375, 227.12142944335938), (503.2310791015625, 303.1966247558594)
Frame 276: red, (778.5084838867188, 578.6561279296875), (895.5274047851562, 719.6978759765625)
Frame 276: blue, (775.6329345703125, 576.8318481445312), (893.4652099609375, 718.5065307617188)
Frame 276: blue, (427.77606201171875, 237.98272705078125), (514.9061889648438, 337.2080078125)
Frame 276: blue, (256.6862487792969, 630.11376953125), (371.2210998535156, 719.7998046875)
Frame 276: red, (695.6014404296875, 226.37730407714844), (788.834228515625, 308.08935546875)
Frame 279: blue, (250.91587829589844, 628.2086181640625), (365.9801025390625, 720.0)
Frame 279: blue, (479.1287536621094, 194.2275390625), (549.7401123046875, 259.2926025390625)
Frame 279: red, (676.888671875, 238.02984619140625), (775.6065673828125, 317.65594482421875)
Frame 279: red, (777.9247436523438, 572.60205078125), (898.2285766601562, 720.0)
Frame 279: blue, (407.8277587890625, 212.07672119140625), (478.75909423828125, 294.4102783203125)
Frame 279: blue, (771.64111328125, 570.7882080078125), (894.28076171875, 720.0)
Frame 279: blue, (417.5758361816406, 261.0402526855469), (492.8302917480469, 338.8446960449219)
Frame 279: red, (769.3092041015625, 201.08596801757812), (825.2840576171875, 287.6433410644531)
Frame 282: blue, (253.44564819335938, 629.3035888671875), (370.8957824707031, 720.0)
Frame 282: red, (674.25537109375, 238.58908081054688), (773.903076171875, 317.7964172363281)
Frame 282: blue, (474.3184814453125, 192.75424194335938), (546.8773193359375, 258.7141418457031)
Frame 282: blue, (387.7010803222656, 217.00132751464844), (460.6636657714844, 299.0079345703125)
Frame 282: red, (793.6830444335938, 562.7886962890625), (892.8897094726562, 720.0)
Frame 282: red, (773.359130859375, 209.07786560058594), (822.34326171875, 297.140625)
Frame 282: red, (786.716064453125, 202.62734985351562), (839.51708984375, 299.0948791503906)
Frame 282: red, (773.4505615234375, 198.90174865722656), (836.020263671875, 294.1580810546875)
Frame 285: blue, (249.2179412841797, 624.37109375), (372.28265380859375, 720.0)
Frame 285: blue, (371.89459228515625, 214.92266845703125), (445.06524658203125, 300.4244384765625)
Frame 285: red, (671.8721923828125, 239.17779541015625), (772.0904541015625, 317.67584228515625)
Frame 285: blue, (471.89581298828125, 190.51837158203125), (544.1775512695312, 258.622802734375)
Frame 285: red, (774.9537963867188, 207.071044921875), (824.8460083007812, 296.0489501953125)
Frame 285: red, (808.775390625, 557.8697509765625), (913.603271484375, 720.0)
Frame 285: red, (827.493896484375, 193.45272827148438), (886.064208984375, 306.6192932128906)
Frame 285: red, (1168.504150390625, 626.212158203125), (1271.046142578125, 720.0)
Frame 285: blue, (348.7926025390625, 267.828857421875), (436.24853515625, 346.9737548828125)
Frame 288: blue, (242.86241149902344, 622.2613525390625), (367.0946044921875, 719.5623779296875)
Frame 288: red, (803.0960693359375, 559.6795043945312), (923.6141357421875, 720.0)
Frame 288: red, (1132.2978515625, 611.1734008789062), (1247.244873046875, 720.0)
Frame 288: red, (673.0655517578125, 239.947509765625), (769.2017822265625, 317.457763671875)
Frame 288: blue, (364.33673095703125, 208.7355194091797), (440.04620361328125, 299.64117431640625)
